# Region type : patch inlet
# Faces       : 8
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(5.843973e-05 9.202015e-07 0.000000e+00)
0.01          	(3.455663e-05 3.761502e-07 0.000000e+00)
0.015         	(2.876963e-05 2.072396e-07 0.000000e+00)
0.02          	(2.919972e-05 9.705724e-08 0.000000e+00)
0.025         	(3.195726e-05 4.017067e-08 0.000000e+00)
0.03          	(3.561357e-05 1.179308e-08 0.000000e+00)
0.035         	(3.957919e-05 -1.462550e-09 0.000000e+00)
0.04          	(4.357184e-05 -7.183258e-09 0.000000e+00)
0.045         	(4.741578e-05 -7.700309e-09 0.000000e+00)
0.05          	(5.130003e-05 -7.569931e-09 0.000000e+00)
0.055         	(5.499273e-05 -6.976236e-09 0.000000e+00)
0.06          	(5.858449e-05 -6.122735e-09 0.000000e+00)
0.065         	(6.198893e-05 -5.196250e-09 0.000000e+00)
0.07          	(6.522569e-05 -4.393130e-09 0.000000e+00)
0.075         	(6.830796e-05 -3.657791e-09 0.000000e+00)
0.08          	(7.124559e-05 -3.039288e-09 0.000000e+00)
0.085         	(7.404648e-05 -2.510685e-09 0.000000e+00)
0.09          	(7.671730e-05 -2.083386e-09 0.000000e+00)
0.095         	(7.926433e-05 -1.722586e-09 0.000000e+00)
0.1           	(8.169328e-05 -1.414151e-09 0.000000e+00)
0.105         	(8.400963e-05 -1.176162e-09 0.000000e+00)
0.11          	(8.621852e-05 -9.712607e-10 0.000000e+00)
0.115         	(8.832495e-05 -8.155359e-10 0.000000e+00)
0.12          	(9.033339e-05 -6.743901e-10 0.000000e+00)
0.125         	(9.224868e-05 -5.641816e-10 0.000000e+00)
0.13          	(9.407507e-05 -4.716663e-10 0.000000e+00)
0.135         	(9.581659e-05 -3.958202e-10 0.000000e+00)
0.14          	(9.747737e-05 -3.288459e-10 0.000000e+00)
0.145         	(9.906090e-05 -2.752870e-10 0.000000e+00)
0.15          	(1.005708e-04 -2.350214e-10 0.000000e+00)
0.155         	(1.020108e-04 -1.980731e-10 0.000000e+00)
0.16          	(1.033836e-04 -1.646924e-10 0.000000e+00)
