# Region type : patch inlet
# Faces       : 15
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(1.122405e-04 2.455214e-07 0.000000e+00)
0.01          	(1.017218e-04 7.448724e-08 0.000000e+00)
0.015         	(1.071632e-04 -2.881958e-07 0.000000e+00)
0.02          	(1.337287e-04 -1.884532e-07 0.000000e+00)
0.025         	(1.610435e-04 -1.563561e-07 0.000000e+00)
0.03          	(1.878099e-04 -1.237991e-07 0.000000e+00)
0.035         	(2.133757e-04 -1.051007e-07 0.000000e+00)
0.04          	(2.377273e-04 -8.712068e-08 0.000000e+00)
0.045         	(2.609875e-04 -7.221802e-08 0.000000e+00)
0.05          	(2.830752e-04 -6.221457e-08 0.000000e+00)
0.055         	(3.040870e-04 -5.351727e-08 0.000000e+00)
0.06          	(3.240877e-04 -4.607160e-08 0.000000e+00)
0.065         	(3.431309e-04 -3.985614e-08 0.000000e+00)
0.07          	(3.612680e-04 -3.442293e-08 0.000000e+00)
0.075         	(3.785447e-04 -2.979339e-08 0.000000e+00)
0.08          	(3.950042e-04 -2.580796e-08 0.000000e+00)
0.085         	(4.106866e-04 -2.238049e-08 0.000000e+00)
0.09          	(4.256301e-04 -1.940392e-08 0.000000e+00)
0.095         	(4.398701e-04 -1.682605e-08 0.000000e+00)
0.1           	(4.534406e-04 -1.458650e-08 0.000000e+00)
0.105         	(4.663715e-04 -1.262756e-08 0.000000e+00)
0.11          	(4.786953e-04 -1.091994e-08 0.000000e+00)
0.115         	(4.904409e-04 -9.450649e-09 0.000000e+00)
0.12          	(5.016355e-04 -8.163356e-09 0.000000e+00)
0.125         	(5.123052e-04 -7.054074e-09 0.000000e+00)
0.13          	(5.224738e-04 -6.097487e-09 0.000000e+00)
0.135         	(5.321674e-04 -5.261716e-09 0.000000e+00)
0.14          	(5.414052e-04 -4.531436e-09 0.000000e+00)
0.145         	(5.502108e-04 -3.906350e-09 0.000000e+00)
0.15          	(5.586034e-04 -3.354612e-09 0.000000e+00)
0.155         	(5.666034e-04 -2.892133e-09 0.000000e+00)
0.16          	(5.742248e-04 -2.500512e-09 0.000000e+00)
0.165         	(5.814899e-04 -2.136665e-09 0.000000e+00)
0.17          	(5.884158e-04 -1.816509e-09 0.000000e+00)
0.175         	(5.950152e-04 -1.541018e-09 0.000000e+00)
0.18          	(6.013073e-04 -1.304940e-09 0.000000e+00)
0.185         	(6.073031e-04 -1.094949e-09 0.000000e+00)
0.19          	(6.130198e-04 -9.122790e-10 0.000000e+00)
0.195         	(6.184674e-04 -7.575254e-10 0.000000e+00)
0.2           	(6.236605e-04 -6.281824e-10 0.000000e+00)
0.205         	(6.286099e-04 -5.202824e-10 0.000000e+00)
0.21          	(6.333281e-04 -4.325191e-10 0.000000e+00)
0.215         	(6.378251e-04 -3.474583e-10 0.000000e+00)
0.22          	(6.421116e-04 -2.654419e-10 0.000000e+00)
0.225         	(6.461941e-04 -1.946421e-10 0.000000e+00)
0.23          	(6.500860e-04 -1.393315e-10 0.000000e+00)
0.235         	(6.537951e-04 -8.740337e-11 0.000000e+00)
0.24          	(6.573315e-04 -3.561327e-11 0.000000e+00)
0.245         	(6.607019e-04 -1.738076e-12 0.000000e+00)
0.25          	(6.639144e-04 4.194126e-11 0.000000e+00)
0.255         	(6.669761e-04 6.953642e-11 0.000000e+00)
0.26          	(6.698961e-04 1.006416e-10 0.000000e+00)
0.265         	(6.726783e-04 1.204579e-10 0.000000e+00)
0.27          	(6.753304e-04 1.272798e-10 0.000000e+00)
0.275         	(6.778587e-04 1.417671e-10 0.000000e+00)
0.28          	(6.802683e-04 1.366324e-10 0.000000e+00)
0.285         	(6.825648e-04 1.436095e-10 0.000000e+00)
0.29          	(6.847546e-04 1.504369e-10 0.000000e+00)
0.295         	(6.868380e-04 1.637073e-10 0.000000e+00)
0.3           	(6.888244e-04 1.904827e-10 0.000000e+00)
0.305         	(6.907180e-04 2.106974e-10 0.000000e+00)
0.31          	(6.925237e-04 2.356334e-10 0.000000e+00)
0.315         	(6.942441e-04 2.452441e-10 0.000000e+00)
0.32          	(6.958843e-04 2.435029e-10 0.000000e+00)
0.325         	(6.974479e-04 2.427800e-10 0.000000e+00)
0.33          	(6.989389e-04 2.495410e-10 0.000000e+00)
0.335         	(7.003593e-04 2.558123e-10 0.000000e+00)
0.34          	(7.017141e-04 2.514633e-10 0.000000e+00)
0.345         	(7.030050e-04 2.529493e-10 0.000000e+00)
0.35          	(7.042361e-04 2.506443e-10 0.000000e+00)
0.355         	(7.054096e-04 2.486270e-10 0.000000e+00)
0.36          	(7.065281e-04 2.364864e-10 0.000000e+00)
0.365         	(7.075944e-04 2.401855e-10 0.000000e+00)
0.37          	(7.086111e-04 2.329376e-10 0.000000e+00)
0.375         	(7.095764e-04 2.478098e-10 0.000000e+00)
0.38          	(7.104973e-04 2.595451e-10 0.000000e+00)
0.385         	(7.113747e-04 2.671595e-10 0.000000e+00)
0.39          	(7.122124e-04 2.661576e-10 0.000000e+00)
0.395         	(7.130098e-04 2.738817e-10 0.000000e+00)
0.4           	(7.137711e-04 2.903314e-10 0.000000e+00)
0.405         	(7.144961e-04 2.849181e-10 0.000000e+00)
0.41          	(7.151881e-04 2.845238e-10 0.000000e+00)
0.415         	(7.158472e-04 3.069401e-10 0.000000e+00)
0.42          	(7.164760e-04 3.015159e-10 0.000000e+00)
0.425         	(7.170753e-04 2.944403e-10 0.000000e+00)
0.43          	(7.176465e-04 3.004573e-10 0.000000e+00)
