# Region type : patch inlet
# Faces       : 15
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(7.791213e-05 1.912971e-07 0.000000e+00)
0.01          	(3.972959e-05 1.582167e-07 0.000000e+00)
0.015         	(2.397298e-05 -1.711481e-07 0.000000e+00)
0.02          	(2.542735e-05 2.466018e-08 0.000000e+00)
0.025         	(2.914982e-05 5.881813e-08 0.000000e+00)
0.03          	(3.354193e-05 4.717464e-08 0.000000e+00)
0.035         	(3.792206e-05 4.222910e-08 0.000000e+00)
0.04          	(4.212729e-05 3.516560e-08 0.000000e+00)
0.045         	(4.619203e-05 2.806575e-08 0.000000e+00)
0.05          	(5.004064e-05 2.320051e-08 0.000000e+00)
0.055         	(5.372910e-05 1.928854e-08 0.000000e+00)
0.06          	(5.726923e-05 1.584654e-08 0.000000e+00)
0.065         	(6.062905e-05 1.288947e-08 0.000000e+00)
0.07          	(6.382453e-05 1.037050e-08 0.000000e+00)
0.075         	(6.686812e-05 8.361618e-09 0.000000e+00)
0.08          	(6.976841e-05 6.716041e-09 0.000000e+00)
0.085         	(7.253215e-05 5.412672e-09 0.000000e+00)
0.09          	(7.516604e-05 4.402351e-09 0.000000e+00)
0.095         	(7.767618e-05 3.588528e-09 0.000000e+00)
0.1           	(8.006856e-05 2.897729e-09 0.000000e+00)
0.105         	(8.234864e-05 2.350286e-09 0.000000e+00)
0.11          	(8.452137e-05 1.931555e-09 0.000000e+00)
0.115         	(8.659226e-05 1.585106e-09 0.000000e+00)
0.12          	(8.856602e-05 1.288792e-09 0.000000e+00)
0.125         	(9.044724e-05 1.065009e-09 0.000000e+00)
0.13          	(9.224030e-05 8.745304e-10 0.000000e+00)
0.135         	(9.394935e-05 7.145871e-10 0.000000e+00)
0.14          	(9.557839e-05 5.917010e-10 0.000000e+00)
0.145         	(9.713082e-05 4.903765e-10 0.000000e+00)
0.15          	(9.861078e-05 4.033421e-10 0.000000e+00)
0.155         	(1.000212e-04 3.322676e-10 0.000000e+00)
0.16          	(1.013658e-04 2.789983e-10 0.000000e+00)
0.165         	(1.026466e-04 2.358955e-10 0.000000e+00)
0.17          	(1.038677e-04 2.014047e-10 0.000000e+00)
0.175         	(1.050314e-04 1.728712e-10 0.000000e+00)
0.18          	(1.061408e-04 1.513046e-10 0.000000e+00)
0.185         	(1.071980e-04 1.282297e-10 0.000000e+00)
0.19          	(1.082060e-04 1.130099e-10 0.000000e+00)
0.195         	(1.091665e-04 9.966435e-11 0.000000e+00)
0.2           	(1.100821e-04 8.842424e-11 0.000000e+00)
0.205         	(1.109549e-04 7.786366e-11 0.000000e+00)
0.21          	(1.117869e-04 6.723157e-11 0.000000e+00)
0.215         	(1.125797e-04 6.288274e-11 0.000000e+00)
0.22          	(1.133356e-04 5.970505e-11 0.000000e+00)
0.225         	(1.140559e-04 5.578983e-11 0.000000e+00)
0.23          	(1.147420e-04 5.286400e-11 0.000000e+00)
0.235         	(1.153960e-04 4.990675e-11 0.000000e+00)
0.24          	(1.160195e-04 5.055999e-11 0.000000e+00)
0.245         	(1.166137e-04 4.771535e-11 0.000000e+00)
0.25          	(1.171801e-04 4.624552e-11 0.000000e+00)
0.255         	(1.177200e-04 4.524466e-11 0.000000e+00)
0.26          	(1.182347e-04 4.522474e-11 0.000000e+00)
0.265         	(1.187253e-04 4.374692e-11 0.000000e+00)
0.27          	(1.191929e-04 4.265488e-11 0.000000e+00)
0.275         	(1.196386e-04 3.970562e-11 0.000000e+00)
0.28          	(1.200636e-04 3.945025e-11 0.000000e+00)
0.285         	(1.204685e-04 3.720495e-11 0.000000e+00)
0.29          	(1.208545e-04 3.439354e-11 0.000000e+00)
0.295         	(1.212225e-04 3.426638e-11 0.000000e+00)
0.3           	(1.215733e-04 3.624012e-11 0.000000e+00)
