# Region type : patch inlet
# Faces       : 15
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(3.027701e-04 2.166629e-06 0.000000e+00)
0.01          	(4.391029e-04 1.065606e-06 0.000000e+00)
0.015         	(5.775647e-04 9.617591e-07 0.000000e+00)
0.02          	(7.396623e-04 5.024027e-07 0.000000e+00)
0.025         	(8.980106e-04 3.373178e-07 0.000000e+00)
0.03          	(1.050213e-03 2.522076e-07 0.000000e+00)
0.035         	(1.194783e-03 1.990556e-07 0.000000e+00)
0.04          	(1.332107e-03 1.641483e-07 0.000000e+00)
0.045         	(1.462620e-03 1.384437e-07 0.000000e+00)
0.05          	(1.586724e-03 1.183545e-07 0.000000e+00)
0.055         	(1.704794e-03 1.019875e-07 0.000000e+00)
0.06          	(1.817168e-03 8.829042e-08 0.000000e+00)
0.065         	(1.924147e-03 7.672768e-08 0.000000e+00)
0.07          	(2.026020e-03 6.680231e-08 0.000000e+00)
0.075         	(2.123052e-03 5.828769e-08 0.000000e+00)
0.08          	(2.215487e-03 5.088821e-08 0.000000e+00)
0.085         	(2.303544e-03 4.455845e-08 0.000000e+00)
0.09          	(2.387448e-03 3.905450e-08 0.000000e+00)
0.095         	(2.467400e-03 3.427037e-08 0.000000e+00)
0.1           	(2.543591e-03 3.007654e-08 0.000000e+00)
0.105         	(2.616188e-03 2.651280e-08 0.000000e+00)
0.11          	(2.685378e-03 2.341322e-08 0.000000e+00)
0.115         	(2.751321e-03 2.063776e-08 0.000000e+00)
0.12          	(2.814169e-03 1.821560e-08 0.000000e+00)
0.125         	(2.874072e-03 1.610466e-08 0.000000e+00)
0.13          	(2.931160e-03 1.425008e-08 0.000000e+00)
0.135         	(2.985566e-03 1.270287e-08 0.000000e+00)
0.14          	(3.037425e-03 1.133875e-08 0.000000e+00)
0.145         	(3.086853e-03 1.019326e-08 0.000000e+00)
0.15          	(3.133960e-03 9.114311e-09 0.000000e+00)
0.155         	(3.178868e-03 8.166331e-09 0.000000e+00)
0.16          	(3.221667e-03 7.342736e-09 0.000000e+00)
0.165         	(3.262464e-03 6.536464e-09 0.000000e+00)
0.17          	(3.301333e-03 6.040888e-09 0.000000e+00)
0.175         	(3.338386e-03 5.596059e-09 0.000000e+00)
0.18          	(3.373700e-03 5.192203e-09 0.000000e+00)
0.185         	(3.407363e-03 4.828490e-09 0.000000e+00)
0.19          	(3.439453e-03 4.419031e-09 0.000000e+00)
0.195         	(3.470038e-03 4.043317e-09 0.000000e+00)
0.2           	(3.499187e-03 3.710394e-09 0.000000e+00)
0.205         	(3.526980e-03 3.489248e-09 0.000000e+00)
0.21          	(3.553463e-03 3.173883e-09 0.000000e+00)
0.215         	(3.578712e-03 2.967114e-09 0.000000e+00)
0.22          	(3.602773e-03 2.746212e-09 0.000000e+00)
0.225         	(3.625711e-03 2.548623e-09 0.000000e+00)
0.23          	(3.647556e-03 2.576037e-09 0.000000e+00)
0.235         	(3.668387e-03 2.605221e-09 0.000000e+00)
0.24          	(3.688235e-03 2.608754e-09 0.000000e+00)
0.245         	(3.707154e-03 2.574764e-09 0.000000e+00)
0.25          	(3.725199e-03 2.567178e-09 0.000000e+00)
0.255         	(3.742389e-03 2.439445e-09 0.000000e+00)
0.26          	(3.758782e-03 2.480077e-09 0.000000e+00)
0.265         	(3.774400e-03 2.343524e-09 0.000000e+00)
0.27          	(3.789287e-03 2.282105e-09 0.000000e+00)
0.275         	(3.803479e-03 2.190787e-09 0.000000e+00)
0.28          	(3.817011e-03 2.181485e-09 0.000000e+00)
0.285         	(3.829902e-03 2.200160e-09 0.000000e+00)
0.29          	(3.842194e-03 2.057053e-09 0.000000e+00)
0.295         	(3.853909e-03 1.884399e-09 0.000000e+00)
0.3           	(3.865079e-03 1.816215e-09 0.000000e+00)
0.305         	(3.875718e-03 1.805133e-09 0.000000e+00)
0.31          	(3.885864e-03 1.770478e-09 0.000000e+00)
0.315         	(3.895534e-03 1.676577e-09 0.000000e+00)
0.32          	(3.904748e-03 1.703393e-09 0.000000e+00)
0.325         	(3.913532e-03 1.586551e-09 0.000000e+00)
0.33          	(3.921914e-03 1.435916e-09 0.000000e+00)
0.335         	(3.929877e-03 1.534116e-09 0.000000e+00)
0.34          	(3.937479e-03 1.682012e-09 0.000000e+00)
0.345         	(3.944718e-03 1.706634e-09 0.000000e+00)
0.35          	(3.951617e-03 1.765991e-09 0.000000e+00)
0.355         	(3.958207e-03 1.776638e-09 0.000000e+00)
0.36          	(3.964478e-03 1.747895e-09 0.000000e+00)
0.365         	(3.970462e-03 1.684667e-09 0.000000e+00)
0.37          	(3.976156e-03 1.651344e-09 0.000000e+00)
0.375         	(3.981594e-03 1.647833e-09 0.000000e+00)
0.38          	(3.986771e-03 1.627069e-09 0.000000e+00)
0.385         	(3.991712e-03 1.498762e-09 0.000000e+00)
0.39          	(3.996418e-03 1.534833e-09 0.000000e+00)
0.395         	(4.000904e-03 1.446260e-09 0.000000e+00)
0.4           	(4.005179e-03 1.400446e-09 0.000000e+00)
0.405         	(4.009260e-03 1.400388e-09 0.000000e+00)
0.41          	(4.013144e-03 1.302937e-09 0.000000e+00)
0.415         	(4.016846e-03 1.308343e-09 0.000000e+00)
0.42          	(4.020376e-03 1.259561e-09 0.000000e+00)
0.425         	(4.023742e-03 1.242248e-09 0.000000e+00)
0.43          	(4.026951e-03 1.231985e-09 0.000000e+00)
0.435         	(4.030010e-03 1.114539e-09 0.000000e+00)
0.44          	(4.032925e-03 1.171500e-09 0.000000e+00)
0.445         	(4.035706e-03 1.133065e-09 0.000000e+00)
0.45          	(4.038352e-03 1.029219e-09 0.000000e+00)
0.455         	(4.040876e-03 9.535245e-10 0.000000e+00)
0.46          	(4.043272e-03 1.060533e-09 0.000000e+00)
0.465         	(4.045559e-03 1.504336e-09 0.000000e+00)
0.47          	(4.047737e-03 1.544872e-09 0.000000e+00)
0.475         	(4.049818e-03 1.701028e-09 0.000000e+00)
0.48          	(4.051798e-03 1.778211e-09 0.000000e+00)
0.485         	(4.053690e-03 1.926871e-09 0.000000e+00)
0.49          	(4.055490e-03 2.015501e-09 0.000000e+00)
0.495         	(4.057204e-03 1.997611e-09 0.000000e+00)
0.5           	(4.058845e-03 1.990264e-09 0.000000e+00)
