# Region type : patch inlet
# Faces       : 15
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(1.594206e-04 4.095368e-07 0.000000e+00)
0.01          	(1.831379e-04 1.328112e-07 0.000000e+00)
0.015         	(2.253329e-04 1.243405e-07 0.000000e+00)
0.02          	(2.855312e-04 1.398488e-07 0.000000e+00)
0.025         	(3.455066e-04 1.094616e-07 0.000000e+00)
0.03          	(4.034431e-04 9.245688e-08 0.000000e+00)
0.035         	(4.589256e-04 7.710420e-08 0.000000e+00)
0.04          	(5.115924e-04 6.298153e-08 0.000000e+00)
0.045         	(5.616178e-04 5.279225e-08 0.000000e+00)
0.05          	(6.091853e-04 4.458337e-08 0.000000e+00)
0.055         	(6.544431e-04 3.777860e-08 0.000000e+00)
0.06          	(6.975197e-04 3.220729e-08 0.000000e+00)
0.065         	(7.385323e-04 2.764310e-08 0.000000e+00)
0.07          	(7.775905e-04 2.378087e-08 0.000000e+00)
0.075         	(8.147942e-04 2.049682e-08 0.000000e+00)
0.08          	(8.502367e-04 1.773204e-08 0.000000e+00)
0.085         	(8.840052e-04 1.536111e-08 0.000000e+00)
0.09          	(9.161815e-04 1.332712e-08 0.000000e+00)
0.095         	(9.468388e-04 1.160301e-08 0.000000e+00)
0.1           	(9.760546e-04 1.013577e-08 0.000000e+00)
0.105         	(1.003898e-03 8.852011e-09 0.000000e+00)
0.11          	(1.030433e-03 7.742389e-09 0.000000e+00)
0.115         	(1.055724e-03 6.781888e-09 0.000000e+00)
0.12          	(1.079828e-03 5.959240e-09 0.000000e+00)
0.125         	(1.102801e-03 5.232020e-09 0.000000e+00)
0.13          	(1.124697e-03 4.605706e-09 0.000000e+00)
0.135         	(1.145567e-03 4.036761e-09 0.000000e+00)
0.14          	(1.165453e-03 3.559781e-09 0.000000e+00)
0.145         	(1.184407e-03 3.176316e-09 0.000000e+00)
0.15          	(1.202475e-03 2.876093e-09 0.000000e+00)
0.155         	(1.219695e-03 2.580296e-09 0.000000e+00)
0.16          	(1.236109e-03 2.293574e-09 0.000000e+00)
0.165         	(1.251753e-03 2.055566e-09 0.000000e+00)
0.17          	(1.266666e-03 1.848438e-09 0.000000e+00)
0.175         	(1.280879e-03 1.677291e-09 0.000000e+00)
0.18          	(1.294426e-03 1.531936e-09 0.000000e+00)
0.185         	(1.307339e-03 1.398022e-09 0.000000e+00)
0.19          	(1.319648e-03 1.268935e-09 0.000000e+00)
0.195         	(1.331373e-03 1.203095e-09 0.000000e+00)
0.2           	(1.342549e-03 1.152446e-09 0.000000e+00)
0.205         	(1.353203e-03 1.096940e-09 0.000000e+00)
0.21          	(1.363358e-03 1.041781e-09 0.000000e+00)
0.215         	(1.373037e-03 9.937918e-10 0.000000e+00)
0.22          	(1.382264e-03 9.384656e-10 0.000000e+00)
0.225         	(1.391057e-03 9.185382e-10 0.000000e+00)
0.23          	(1.399440e-03 8.659036e-10 0.000000e+00)
0.235         	(1.407429e-03 8.375206e-10 0.000000e+00)
0.24          	(1.415045e-03 8.056554e-10 0.000000e+00)
0.245         	(1.422305e-03 7.719187e-10 0.000000e+00)
0.25          	(1.429225e-03 7.239932e-10 0.000000e+00)
0.255         	(1.435820e-03 6.935858e-10 0.000000e+00)
0.26          	(1.442107e-03 6.536872e-10 0.000000e+00)
0.265         	(1.448092e-03 6.757125e-10 0.000000e+00)
0.27          	(1.453798e-03 7.072454e-10 0.000000e+00)
0.275         	(1.459237e-03 7.105889e-10 0.000000e+00)
0.28          	(1.464423e-03 7.215190e-10 0.000000e+00)
0.285         	(1.469364e-03 7.348852e-10 0.000000e+00)
0.29          	(1.474074e-03 7.582809e-10 0.000000e+00)
0.295         	(1.478566e-03 7.664366e-10 0.000000e+00)
0.3           	(1.482847e-03 7.579954e-10 0.000000e+00)
0.305         	(1.486927e-03 7.445040e-10 0.000000e+00)
0.31          	(1.490816e-03 7.345876e-10 0.000000e+00)
0.315         	(1.494523e-03 7.046237e-10 0.000000e+00)
0.32          	(1.498058e-03 6.851862e-10 0.000000e+00)
0.325         	(1.501428e-03 6.883459e-10 0.000000e+00)
0.33          	(1.504639e-03 6.434167e-10 0.000000e+00)
0.335         	(1.507702e-03 6.337637e-10 0.000000e+00)
0.34          	(1.510618e-03 6.096602e-10 0.000000e+00)
0.345         	(1.513393e-03 6.280441e-10 0.000000e+00)
0.35          	(1.516038e-03 6.656446e-10 0.000000e+00)
0.355         	(1.518561e-03 6.885620e-10 0.000000e+00)
0.36          	(1.520964e-03 6.956140e-10 0.000000e+00)
0.365         	(1.523257e-03 7.222305e-10 0.000000e+00)
0.37          	(1.525441e-03 7.125983e-10 0.000000e+00)
0.375         	(1.527524e-03 7.082295e-10 0.000000e+00)
0.38          	(1.529510e-03 7.290450e-10 0.000000e+00)
0.385         	(1.531404e-03 7.196567e-10 0.000000e+00)
0.39          	(1.533208e-03 7.112156e-10 0.000000e+00)
0.395         	(1.534929e-03 7.019060e-10 0.000000e+00)
0.4           	(1.536570e-03 6.939025e-10 0.000000e+00)
0.405         	(1.538134e-03 6.807366e-10 0.000000e+00)
0.41          	(1.539624e-03 6.558694e-10 0.000000e+00)
0.415         	(1.541046e-03 6.361517e-10 0.000000e+00)
0.42          	(1.542401e-03 6.277661e-10 0.000000e+00)
0.425         	(1.543686e-03 6.675956e-10 0.000000e+00)
0.43          	(1.544910e-03 6.934045e-10 0.000000e+00)
0.435         	(1.546079e-03 7.105475e-10 0.000000e+00)
0.44          	(1.547192e-03 7.237252e-10 0.000000e+00)
0.445         	(1.548255e-03 7.415989e-10 0.000000e+00)
0.45          	(1.549267e-03 7.454221e-10 0.000000e+00)
0.455         	(1.550234e-03 7.559165e-10 0.000000e+00)
0.46          	(1.551154e-03 7.379495e-10 0.000000e+00)
0.465         	(1.552034e-03 7.228945e-10 0.000000e+00)
0.47          	(1.552870e-03 7.197161e-10 0.000000e+00)
0.475         	(1.553670e-03 6.993011e-10 0.000000e+00)
0.48          	(1.554430e-03 6.933611e-10 0.000000e+00)
0.485         	(1.555158e-03 6.783227e-10 0.000000e+00)
0.49          	(1.555850e-03 6.653054e-10 0.000000e+00)
0.495         	(1.556510e-03 6.385645e-10 0.000000e+00)
0.5           	(1.557140e-03 6.070753e-10 0.000000e+00)
