# Region type : patch inlet
# Faces       : 15
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.005         	(2.069187e-04 9.122771e-07 0.000000e+00)
0.01          	(2.674910e-04 -3.048743e-08 0.000000e+00)
0.015         	(3.428677e-04 -3.103958e-07 0.000000e+00)
0.02          	(4.368627e-04 -3.031734e-07 0.000000e+00)
0.025         	(5.299111e-04 -2.559248e-07 0.000000e+00)
0.03          	(6.191175e-04 -2.225397e-07 0.000000e+00)
0.035         	(7.043266e-04 -1.877870e-07 0.000000e+00)
0.04          	(7.851861e-04 -1.596172e-07 0.000000e+00)
0.045         	(8.620252e-04 -1.369531e-07 0.000000e+00)
0.05          	(9.350914e-04 -1.175816e-07 0.000000e+00)
0.055         	(1.004610e-03 -1.015250e-07 0.000000e+00)
0.06          	(1.070775e-03 -8.767698e-08 0.000000e+00)
0.065         	(1.133769e-03 -7.589149e-08 0.000000e+00)
0.07          	(1.193760e-03 -6.580772e-08 0.000000e+00)
0.075         	(1.250902e-03 -5.709567e-08 0.000000e+00)
0.08          	(1.305337e-03 -4.956780e-08 0.000000e+00)
0.085         	(1.357195e-03 -4.302739e-08 0.000000e+00)
0.09          	(1.406608e-03 -3.733462e-08 0.000000e+00)
0.095         	(1.453694e-03 -3.236322e-08 0.000000e+00)
0.1           	(1.498567e-03 -2.809604e-08 0.000000e+00)
0.105         	(1.541330e-03 -2.439142e-08 0.000000e+00)
0.11          	(1.582085e-03 -2.116401e-08 0.000000e+00)
0.115         	(1.620929e-03 -1.836470e-08 0.000000e+00)
0.12          	(1.657940e-03 -1.592271e-08 0.000000e+00)
0.125         	(1.693218e-03 -1.379228e-08 0.000000e+00)
0.13          	(1.726841e-03 -1.189373e-08 0.000000e+00)
0.135         	(1.758887e-03 -1.026192e-08 0.000000e+00)
0.14          	(1.789435e-03 -8.814629e-09 0.000000e+00)
0.145         	(1.818550e-03 -7.575459e-09 0.000000e+00)
0.15          	(1.846300e-03 -6.548208e-09 0.000000e+00)
0.155         	(1.872750e-03 -5.632490e-09 0.000000e+00)
0.16          	(1.897951e-03 -4.796040e-09 0.000000e+00)
0.165         	(1.921973e-03 -4.021548e-09 0.000000e+00)
0.17          	(1.944870e-03 -3.393939e-09 0.000000e+00)
0.175         	(1.966694e-03 -2.836032e-09 0.000000e+00)
0.18          	(1.987499e-03 -2.321255e-09 0.000000e+00)
0.185         	(2.007328e-03 -1.914419e-09 0.000000e+00)
0.19          	(2.026228e-03 -1.523833e-09 0.000000e+00)
0.195         	(2.044243e-03 -1.244271e-09 0.000000e+00)
0.2           	(2.061413e-03 -1.026508e-09 0.000000e+00)
0.205         	(2.077782e-03 -7.932422e-10 0.000000e+00)
0.21          	(2.093383e-03 -6.165039e-10 0.000000e+00)
0.215         	(2.108252e-03 -4.758544e-10 0.000000e+00)
0.22          	(2.122416e-03 -3.003859e-10 0.000000e+00)
0.225         	(2.135915e-03 -8.723158e-11 0.000000e+00)
0.23          	(2.148785e-03 7.128626e-11 0.000000e+00)
0.235         	(2.161054e-03 1.893259e-10 0.000000e+00)
0.24          	(2.172747e-03 3.108686e-10 0.000000e+00)
0.245         	(2.183893e-03 4.024684e-10 0.000000e+00)
0.25          	(2.194516e-03 5.068779e-10 0.000000e+00)
0.255         	(2.204644e-03 5.361772e-10 0.000000e+00)
0.26          	(2.214296e-03 5.671782e-10 0.000000e+00)
0.265         	(2.223499e-03 6.315649e-10 0.000000e+00)
0.27          	(2.232268e-03 6.618526e-10 0.000000e+00)
0.275         	(2.240628e-03 6.827955e-10 0.000000e+00)
0.28          	(2.248596e-03 6.844920e-10 0.000000e+00)
0.285         	(2.256194e-03 6.708219e-10 0.000000e+00)
0.29          	(2.263422e-03 8.004796e-10 0.000000e+00)
0.295         	(2.270312e-03 8.941378e-10 0.000000e+00)
0.3           	(2.276882e-03 9.679660e-10 0.000000e+00)
0.305         	(2.283147e-03 1.067395e-09 0.000000e+00)
0.31          	(2.289115e-03 1.123345e-09 0.000000e+00)
0.315         	(2.294806e-03 1.125026e-09 0.000000e+00)
0.32          	(2.300231e-03 1.147509e-09 0.000000e+00)
0.325         	(2.305402e-03 1.120049e-09 0.000000e+00)
0.33          	(2.310333e-03 1.133234e-09 0.000000e+00)
0.335         	(2.315031e-03 1.119689e-09 0.000000e+00)
0.34          	(2.319510e-03 1.145689e-09 0.000000e+00)
0.345         	(2.323781e-03 1.115251e-09 0.000000e+00)
0.35          	(2.327852e-03 1.094435e-09 0.000000e+00)
0.355         	(2.331731e-03 1.048240e-09 0.000000e+00)
0.36          	(2.335431e-03 1.086619e-09 0.000000e+00)
0.365         	(2.338955e-03 1.065861e-09 0.000000e+00)
0.37          	(2.342316e-03 1.004059e-09 0.000000e+00)
0.375         	(2.345510e-03 1.121210e-09 0.000000e+00)
0.38          	(2.348555e-03 1.209815e-09 0.000000e+00)
0.385         	(2.351456e-03 1.235095e-09 0.000000e+00)
0.39          	(2.354222e-03 1.249452e-09 0.000000e+00)
0.395         	(2.356860e-03 1.291989e-09 0.000000e+00)
0.4           	(2.359376e-03 1.283464e-09 0.000000e+00)
0.405         	(2.361773e-03 1.323254e-09 0.000000e+00)
0.41          	(2.364059e-03 1.336120e-09 0.000000e+00)
0.415         	(2.366238e-03 1.301500e-09 0.000000e+00)
0.42          	(2.368317e-03 1.283910e-09 0.000000e+00)
0.425         	(2.370297e-03 1.260537e-09 0.000000e+00)
0.43          	(2.372188e-03 1.233174e-09 0.000000e+00)
0.435         	(2.373988e-03 1.210773e-09 0.000000e+00)
0.44          	(2.375705e-03 1.161642e-09 0.000000e+00)
0.445         	(2.377341e-03 1.142798e-09 0.000000e+00)
0.45          	(2.378904e-03 1.091744e-09 0.000000e+00)
0.455         	(2.380392e-03 1.059491e-09 0.000000e+00)
0.46          	(2.381810e-03 1.022621e-09 0.000000e+00)
0.465         	(2.383163e-03 9.859596e-10 0.000000e+00)
0.47          	(2.384440e-03 1.045944e-09 0.000000e+00)
0.475         	(2.385660e-03 1.112792e-09 0.000000e+00)
0.48          	(2.386822e-03 1.217660e-09 0.000000e+00)
0.485         	(2.387931e-03 1.251952e-09 0.000000e+00)
0.49          	(2.388989e-03 1.268989e-09 0.000000e+00)
0.495         	(2.389998e-03 1.253176e-09 0.000000e+00)
0.5           	(2.390961e-03 1.290269e-09 0.000000e+00)
